"","alt.src","ym","gov.gold","last","end"
"688","Islamic Jihad","2002-08-01",-7,"2002-07-01","2014-07-19"
"689","Islamic Jihad","2002-09-01",-9,"2002-08-01","2014-07-19"
"690","Islamic Jihad","2002-10-01",-8.75,"2002-09-01","2014-07-19"
"691","Islamic Jihad","2002-11-01",-9.5,"2002-10-01","2014-07-19"
"692","Islamic Jihad","2002-12-01",-9,"2002-11-01","2014-07-19"
"693","Islamic Jihad","2003-01-01",-7.5,"2002-12-01","2014-07-19"
"694","Islamic Jihad","2003-02-01",-10,"2003-01-01","2014-07-19"
"695","Islamic Jihad","2003-03-01",-8.166667,"2003-02-01","2014-07-19"
"696","Islamic Jihad","2003-04-01",-10,"2003-03-01","2014-07-19"
"697","Islamic Jihad","2003-05-01",-5,"2003-04-01","2014-07-19"
"698","Islamic Jihad","2003-06-01",-4,"2003-05-01","2014-07-19"
"699","Islamic Jihad","2003-07-01",-3.8,"2003-06-01","2014-07-19"
"700","Islamic Jihad","2003-08-01",-4,"2003-07-01","2014-07-19"
"701","Islamic Jihad","2003-09-01",-4.4,"2003-08-01","2014-07-19"
"702","Islamic Jihad","2003-10-01",-7.4,"2003-09-01","2014-07-19"
"703","Islamic Jihad","2003-11-01",-8.5,"2003-10-01","2014-07-19"
"704","Islamic Jihad","2003-12-01",-4.5,"2003-11-01","2014-07-19"
"705","Islamic Jihad","2004-01-01",-7,"2003-12-01","2014-07-19"
"706","Islamic Jihad","2004-02-01",-8.5,"2004-01-01","2014-07-19"
"707","Islamic Jihad","2004-04-01",-2,"2004-03-01","2014-07-19"
"708","Islamic Jihad","2004-05-01",-10,"2004-04-01","2014-07-19"
"709","Islamic Jihad","2004-06-01",-10,"2004-05-01","2014-07-19"
"710","Islamic Jihad","2004-07-01",-10,"2004-05-01","2014-07-19"
"711","Islamic Jihad","2004-08-01",-10,"2004-05-01","2014-07-19"
"712","Islamic Jihad","2004-09-01",-10,"2004-05-01","2014-07-19"
"713","Islamic Jihad","2004-10-01",-10,"2004-06-01","2014-07-19"
"714","Islamic Jihad","2004-11-01",-10,"2004-10-01","2014-07-19"
"715","Islamic Jihad","2004-12-01",-10,"2004-11-01","2014-07-19"
"716","Islamic Jihad","2005-01-01",-10,"2004-12-01","2014-07-19"
"717","Islamic Jihad","2005-02-01",-6.363636,"2005-01-01","2014-07-19"
"718","Islamic Jihad","2005-03-01",-7.076923,"2005-02-01","2014-07-19"
"719","Islamic Jihad","2005-04-01",-7.076923,"2005-02-01","2014-07-19"
"720","Islamic Jihad","2005-05-01",-5.5,"2005-03-01","2014-07-19"
"721","Islamic Jihad","2005-06-01",-5.554545,"2005-05-01","2014-07-19"
"722","Islamic Jihad","2005-07-01",-7.066667,"2005-06-01","2014-07-19"
"723","Islamic Jihad","2005-08-01",-10,"2005-07-01","2014-07-19"
"724","Islamic Jihad","2005-09-01",-10,"2005-08-01","2014-07-19"
"725","Islamic Jihad","2005-10-01",-7.9375,"2005-09-01","2014-07-19"
"726","Islamic Jihad","2005-11-01",-10,"2005-10-01","2014-07-19"
"727","Islamic Jihad","2005-12-01",-7.428571,"2005-11-01","2014-07-19"
"728","Islamic Jihad","2006-01-01",-7.925,"2005-12-01","2014-07-19"
"729","Islamic Jihad","2006-02-01",-6.666667,"2006-01-01","2014-07-19"
"730","Islamic Jihad","2006-03-01",-6.4,"2006-02-01","2014-07-19"
"731","Islamic Jihad","2006-04-01",-8.722222,"2006-03-01","2014-07-19"
"732","Islamic Jihad","2006-05-01",-10,"2006-04-01","2014-07-19"
"733","Islamic Jihad","2006-06-01",-8.166667,"2006-05-01","2014-07-19"
"734","Islamic Jihad","2006-07-01",-6,"2006-06-01","2014-07-19"
"735","Islamic Jihad","2006-08-01",-5,"2006-07-01","2014-07-19"
"736","Islamic Jihad","2006-09-01",-10,"2006-08-01","2014-07-19"
"737","Islamic Jihad","2006-10-01",-6.4,"2006-09-01","2014-07-19"
"738","Islamic Jihad","2006-11-01",-10,"2006-10-01","2014-07-19"
"739","Islamic Jihad","2006-12-01",-2,"2006-11-01","2014-07-19"
"740","Islamic Jihad","2007-01-01",-8.142857,"2006-12-01","2014-07-19"
"741","Islamic Jihad","2007-02-01",-8.142857,"2007-01-01","2014-07-19"
"742","Islamic Jihad","2007-03-01",-8.5,"2007-02-01","2014-07-19"
"743","Islamic Jihad","2007-04-01",-8.5,"2007-02-01","2014-07-19"
"744","Islamic Jihad","2007-05-01",-10,"2007-03-01","2014-07-19"
"745","Islamic Jihad","2007-06-01",-10,"2007-05-01","2014-07-19"
"746","Islamic Jihad","2007-07-01",-10,"2007-06-01","2014-07-19"
"747","Islamic Jihad","2007-08-01",-9,"2007-07-01","2014-07-19"
"748","Islamic Jihad","2007-09-01",-9.8,"2007-08-01","2014-07-19"
"749","Islamic Jihad","2007-10-01",-10,"2007-09-01","2014-07-19"
"750","Islamic Jihad","2007-11-01",-9.4,"2007-10-01","2014-07-19"
"751","Islamic Jihad","2007-12-01",-7.5,"2007-11-01","2014-07-19"
"752","Islamic Jihad","2008-01-01",-10,"2007-12-01","2014-07-19"
"753","Islamic Jihad","2008-02-01",-10,"2008-01-01","2014-07-19"
"754","Islamic Jihad","2008-03-01",-9.9,"2008-02-01","2014-07-19"
"755","Islamic Jihad","2008-04-01",-7.5,"2008-03-01","2014-07-19"
"756","Islamic Jihad","2008-05-01",-7.466667,"2008-04-01","2014-07-19"
"757","Islamic Jihad","2008-06-01",-10,"2008-05-01","2014-07-19"
"758","Islamic Jihad","2008-07-01",-10,"2008-05-01","2014-07-19"
"759","Islamic Jihad","2008-11-01",-5,"2008-10-01","2014-07-19"
"760","Islamic Jihad","2008-12-01",-7.2625,"2008-11-01","2014-07-19"
"761","Islamic Jihad","2009-01-01",-5,"2008-12-01","2014-07-19"
"762","Islamic Jihad","2009-02-01",-10,"2009-01-01","2014-07-19"
"763","Islamic Jihad","2009-03-01",-10,"2009-02-01","2014-07-19"
"764","Islamic Jihad","2009-04-01",-4.5,"2009-03-01","2014-07-19"
"765","Islamic Jihad","2009-05-01",-4.5,"2009-03-01","2014-07-19"
"766","Islamic Jihad","2009-06-01",-4.5,"2009-03-01","2014-07-19"
"767","Islamic Jihad","2009-07-01",-4.5,"2009-03-01","2014-07-19"
"768","Islamic Jihad","2009-08-01",-4.5,"2009-03-01","2014-07-19"
"769","Islamic Jihad","2009-09-01",-4.5,"2009-03-01","2014-07-19"
"770","Islamic Jihad","2009-10-01",-4.5,"2009-03-01","2014-07-19"
"771","Islamic Jihad","2009-11-01",-4.5,"2009-03-01","2014-07-19"
"772","Islamic Jihad","2010-05-01",-5,"2010-02-01","2014-07-19"
"773","Islamic Jihad","2010-06-01",-5,"2010-02-01","2014-07-19"
"774","Islamic Jihad","2010-07-01",-5,"2010-02-01","2014-07-19"
"775","Islamic Jihad","2010-08-01",-5,"2010-02-01","2014-07-19"
"776","Islamic Jihad","2011-03-01",-7.233333,"2010-09-01","2014-07-19"
"777","Islamic Jihad","2011-04-01",-4,"2011-03-01","2014-07-19"
"778","Islamic Jihad","2011-05-01",-4,"2011-03-01","2014-07-19"
"779","Islamic Jihad","2011-06-01",-4,"2011-03-01","2014-07-19"
"780","Islamic Jihad","2011-07-01",-4,"2011-03-01","2014-07-19"
"781","Islamic Jihad","2011-08-01",-10,"2011-04-01","2014-07-19"
"782","Islamic Jihad","2011-09-01",-10,"2011-04-01","2014-07-19"
"783","Islamic Jihad","2011-10-01",-10,"2011-08-01","2014-07-19"
"784","Islamic Jihad","2011-11-01",-10,"2011-10-01","2014-07-19"
"785","Islamic Jihad","2011-12-01",-10,"2011-10-01","2014-07-19"
"786","Islamic Jihad","2012-01-01",-7,"2011-11-01","2014-07-19"
"787","Islamic Jihad","2012-11-01",-10,"2012-10-01","2014-07-19"
"788","Islamic Jihad","2012-12-01",-10,"2012-10-01","2014-07-19"
"789","Islamic Jihad","2013-01-01",-10,"2012-10-01","2014-07-19"
"790","Islamic Jihad","2013-02-01",-10,"2012-10-01","2014-07-19"
"791","Islamic Jihad","2013-03-01",-10,"2012-10-01","2014-07-19"
"792","Islamic Jihad","2013-04-01",-10,"2012-10-01","2014-07-19"
"793","Islamic Jihad","2013-05-01",-10,"2012-10-01","2014-07-19"
"794","Islamic Jihad","2013-06-01",-10,"2012-10-01","2014-07-19"
"795","Islamic Jihad","2013-07-01",-10,"2012-10-01","2014-07-19"
"796","Islamic Jihad","2013-08-01",-10,"2012-10-01","2014-07-19"
"797","Islamic Jihad","2013-09-01",-10,"2012-10-01","2014-07-19"
"798","Islamic Jihad","2013-10-01",-10,"2012-10-01","2014-07-19"
"799","Islamic Jihad","2013-11-01",-10,"2012-10-01","2014-07-19"
"800","Islamic Jihad","2013-12-01",-10,"2012-10-01","2014-07-19"
"801","Islamic Jihad","2014-03-01",-10,"2014-01-01","2014-07-19"
"802","Islamic Jihad","2014-04-01",-10,"2014-01-01","2014-07-19"
"803","Islamic Jihad","2014-05-01",-10,"2014-01-01","2014-07-19"
"804","Izz ad-Din al-Qassam Brigades","1997-10-01",-5,"1996-04-01","2014-08-19"
"805","Izz ad-Din al-Qassam Brigades","1997-11-01",-5,"1996-04-01","2014-08-19"
"806","Izz ad-Din al-Qassam Brigades","1997-12-01",-5,"1996-04-01","2014-08-19"
"807","Izz ad-Din al-Qassam Brigades","1998-01-01",-5,"1996-04-01","2014-08-19"
"808","Izz ad-Din al-Qassam Brigades","1998-02-01",-5,"1996-04-01","2014-08-19"
"809","Izz ad-Din al-Qassam Brigades","1998-03-01",-5,"1996-04-01","2014-08-19"
"810","Izz ad-Din al-Qassam Brigades","1998-04-01",-2,"1997-10-01","2014-08-19"
"811","Izz ad-Din al-Qassam Brigades","1998-05-01",-2,"1997-10-01","2014-08-19"
"812","Izz ad-Din al-Qassam Brigades","1998-06-01",-2,"1997-10-01","2014-08-19"
"813","Izz ad-Din al-Qassam Brigades","1998-07-01",-2,"1997-10-01","2014-08-19"
"814","Izz ad-Din al-Qassam Brigades","1998-08-01",-2,"1997-10-01","2014-08-19"
"815","Izz ad-Din al-Qassam Brigades","1998-09-01",-2,"1997-10-01","2014-08-19"
"816","Izz ad-Din al-Qassam Brigades","1998-10-01",-10,"1998-04-01","2014-08-19"
"817","Izz ad-Din al-Qassam Brigades","1998-11-01",-10,"1998-04-01","2014-08-19"
"818","Izz ad-Din al-Qassam Brigades","1998-12-01",-10,"1998-04-01","2014-08-19"
"819","Izz ad-Din al-Qassam Brigades","1999-01-01",-10,"1998-04-01","2014-08-19"
"820","Izz ad-Din al-Qassam Brigades","1999-02-01",-10,"1998-04-01","2014-08-19"
"821","Izz ad-Din al-Qassam Brigades","1999-03-01",-10,"1998-04-01","2014-08-19"
"822","Izz ad-Din al-Qassam Brigades","1999-04-01",-10,"1998-04-01","2014-08-19"
"823","Izz ad-Din al-Qassam Brigades","1999-05-01",-10,"1998-04-01","2014-08-19"
"824","Izz ad-Din al-Qassam Brigades","1999-06-01",-10,"1998-04-01","2014-08-19"
"825","Izz ad-Din al-Qassam Brigades","1999-07-01",-10,"1998-04-01","2014-08-19"
"826","Izz ad-Din al-Qassam Brigades","1999-08-01",-10,"1998-04-01","2014-08-19"
"827","Izz ad-Din al-Qassam Brigades","1999-09-01",-10,"1998-04-01","2014-08-19"
"828","Izz ad-Din al-Qassam Brigades","1999-10-01",-10,"1998-04-01","2014-08-19"
"829","Izz ad-Din al-Qassam Brigades","1999-11-01",-10,"1998-04-01","2014-08-19"
"830","Izz ad-Din al-Qassam Brigades","1999-12-01",-10,"1998-04-01","2014-08-19"
"831","Izz ad-Din al-Qassam Brigades","2000-01-01",-10,"1998-04-01","2014-08-19"
"832","Izz ad-Din al-Qassam Brigades","2000-02-01",-10,"1998-04-01","2014-08-19"
"833","Izz ad-Din al-Qassam Brigades","2000-03-01",-10,"1998-04-01","2014-08-19"
"834","Izz ad-Din al-Qassam Brigades","2000-04-01",-10,"1998-04-01","2014-08-19"
"835","Izz ad-Din al-Qassam Brigades","2003-04-01",-9,"2003-01-01","2014-08-19"
"836","Izz ad-Din al-Qassam Brigades","2003-05-01",-9,"2003-04-01","2014-08-19"
"837","Izz ad-Din al-Qassam Brigades","2003-06-01",-9,"2003-04-01","2014-08-19"
"838","Izz ad-Din al-Qassam Brigades","2003-07-01",-9,"2003-04-01","2014-08-19"
"839","Izz ad-Din al-Qassam Brigades","2003-08-01",-10,"2003-05-01","2014-08-19"
"840","Izz ad-Din al-Qassam Brigades","2003-09-01",-10,"2003-05-01","2014-08-19"
"841","Izz ad-Din al-Qassam Brigades","2003-10-01",-10,"2003-05-01","2014-08-19"
"842","Izz ad-Din al-Qassam Brigades","2003-11-01",-10,"2003-05-01","2014-08-19"
"843","Izz ad-Din al-Qassam Brigades","2003-12-01",-10,"2003-08-01","2014-08-19"
"844","Izz ad-Din al-Qassam Brigades","2004-01-01",-10,"2003-08-01","2014-08-19"
"845","Izz ad-Din al-Qassam Brigades","2004-02-01",-10,"2003-08-01","2014-08-19"
"846","Izz ad-Din al-Qassam Brigades","2004-03-01",-10,"2003-08-01","2014-08-19"
"847","Izz ad-Din al-Qassam Brigades","2004-04-01",-10,"2003-08-01","2014-08-19"
"848","Izz ad-Din al-Qassam Brigades","2004-05-01",-10,"2003-12-01","2014-08-19"
"849","Izz ad-Din al-Qassam Brigades","2004-06-01",-10,"2003-12-01","2014-08-19"
"850","Izz ad-Din al-Qassam Brigades","2004-07-01",-10,"2003-12-01","2014-08-19"
"851","Izz ad-Din al-Qassam Brigades","2004-08-01",-10,"2003-12-01","2014-08-19"
"852","Izz ad-Din al-Qassam Brigades","2004-09-01",-10,"2003-12-01","2014-08-19"
"853","Izz ad-Din al-Qassam Brigades","2004-10-01",-9.666667,"2004-05-01","2014-08-19"
"854","Izz ad-Din al-Qassam Brigades","2004-11-01",-9.666667,"2004-05-01","2014-08-19"
"855","Izz ad-Din al-Qassam Brigades","2004-12-01",-8.857143,"2004-10-01","2014-08-19"
"856","Izz ad-Din al-Qassam Brigades","2005-01-01",-10,"2004-12-01","2014-08-19"
"857","Izz ad-Din al-Qassam Brigades","2005-02-01",-10,"2004-12-01","2014-08-19"
"858","Izz ad-Din al-Qassam Brigades","2005-03-01",-10,"2004-12-01","2014-08-19"
"859","Izz ad-Din al-Qassam Brigades","2005-04-01",-10,"2004-12-01","2014-08-19"
"860","Izz ad-Din al-Qassam Brigades","2005-05-01",-10,"2004-12-01","2014-08-19"
"861","Izz ad-Din al-Qassam Brigades","2005-06-01",-10,"2004-12-01","2014-08-19"
"862","Izz ad-Din al-Qassam Brigades","2005-07-01",-10,"2004-12-01","2014-08-19"
"863","Izz ad-Din al-Qassam Brigades","2005-08-01",-10,"2004-12-01","2014-08-19"
"864","Izz ad-Din al-Qassam Brigades","2005-09-01",-6.666667,"2005-01-01","2014-08-19"
"865","Izz ad-Din al-Qassam Brigades","2005-10-01",-6.666667,"2005-01-01","2014-08-19"
"866","Izz ad-Din al-Qassam Brigades","2005-11-01",-6.666667,"2005-01-01","2014-08-19"
"867","Izz ad-Din al-Qassam Brigades","2005-12-01",-6.666667,"2005-01-01","2014-08-19"
"868","Izz ad-Din al-Qassam Brigades","2006-01-01",-10,"2005-09-01","2014-08-19"
"869","Izz ad-Din al-Qassam Brigades","2006-02-01",-10,"2005-09-01","2014-08-19"
"870","Izz ad-Din al-Qassam Brigades","2006-03-01",-10,"2005-09-01","2014-08-19"
"871","Izz ad-Din al-Qassam Brigades","2006-06-01",-8.133333,"2006-04-01","2014-08-19"
"872","Izz ad-Din al-Qassam Brigades","2006-07-01",-10,"2006-06-01","2014-08-19"
"873","Izz ad-Din al-Qassam Brigades","2006-08-01",-10,"2006-07-01","2014-08-19"
"874","Izz ad-Din al-Qassam Brigades","2006-09-01",-10,"2006-07-01","2014-08-19"
"875","Izz ad-Din al-Qassam Brigades","2006-10-01",-10,"2006-07-01","2014-08-19"
"876","Izz ad-Din al-Qassam Brigades","2006-11-01",-10,"2006-08-01","2014-08-19"
"877","Izz ad-Din al-Qassam Brigades","2006-12-01",-10,"2006-11-01","2014-08-19"
"878","Izz ad-Din al-Qassam Brigades","2007-01-01",-10,"2006-11-01","2014-08-19"
"879","Izz ad-Din al-Qassam Brigades","2007-02-01",-10,"2006-11-01","2014-08-19"
"880","Izz ad-Din al-Qassam Brigades","2007-03-01",-10,"2006-11-01","2014-08-19"
"881","Izz ad-Din al-Qassam Brigades","2007-04-01",-10,"2006-11-01","2014-08-19"
"882","Izz ad-Din al-Qassam Brigades","2007-05-01",-10,"2006-11-01","2014-08-19"
"883","Izz ad-Din al-Qassam Brigades","2007-06-01",-10,"2006-12-01","2014-08-19"
"884","Izz ad-Din al-Qassam Brigades","2007-07-01",-10,"2006-12-01","2014-08-19"
"885","Izz ad-Din al-Qassam Brigades","2007-08-01",-10,"2006-12-01","2014-08-19"
"886","Izz ad-Din al-Qassam Brigades","2007-09-01",-10,"2006-12-01","2014-08-19"
"887","Izz ad-Din al-Qassam Brigades","2007-10-01",-10,"2007-06-01","2014-08-19"
"888","Izz ad-Din al-Qassam Brigades","2007-11-01",-10,"2007-06-01","2014-08-19"
"889","Izz ad-Din al-Qassam Brigades","2007-12-01",-10,"2007-10-01","2014-08-19"
"890","Izz ad-Din al-Qassam Brigades","2008-01-01",-10,"2007-12-01","2014-08-19"
"891","Izz ad-Din al-Qassam Brigades","2008-02-01",-10,"2008-01-01","2014-08-19"
"892","Izz ad-Din al-Qassam Brigades","2008-03-01",-10,"2008-02-01","2014-08-19"
"893","Izz ad-Din al-Qassam Brigades","2008-04-01",-10,"2008-02-01","2014-08-19"
"894","Izz ad-Din al-Qassam Brigades","2008-05-01",-10,"2008-03-01","2014-08-19"
"895","Izz ad-Din al-Qassam Brigades","2008-06-01",-10,"2008-03-01","2014-08-19"
"896","Izz ad-Din al-Qassam Brigades","2008-07-01",-10,"2008-03-01","2014-08-19"
"897","Izz ad-Din al-Qassam Brigades","2008-08-01",-10,"2008-03-01","2014-08-19"
"898","Izz ad-Din al-Qassam Brigades","2008-09-01",-10,"2008-03-01","2014-08-19"
"899","Izz ad-Din al-Qassam Brigades","2008-10-01",-10,"2008-03-01","2014-08-19"
"900","Izz ad-Din al-Qassam Brigades","2008-11-01",-10,"2008-05-01","2014-08-19"
"901","Izz ad-Din al-Qassam Brigades","2008-12-01",-6.666667,"2008-11-01","2014-08-19"
"902","Izz ad-Din al-Qassam Brigades","2009-01-01",-10,"2008-12-01","2014-08-19"
"903","Izz ad-Din al-Qassam Brigades","2009-02-01",-10,"2008-12-01","2014-08-19"
"904","Izz ad-Din al-Qassam Brigades","2009-03-01",-10,"2008-12-01","2014-08-19"
"905","Izz ad-Din al-Qassam Brigades","2009-04-01",-10,"2008-12-01","2014-08-19"
"906","Izz ad-Din al-Qassam Brigades","2009-05-01",-10,"2008-12-01","2014-08-19"
"907","Izz ad-Din al-Qassam Brigades","2009-06-01",-10,"2008-12-01","2014-08-19"
"908","Izz ad-Din al-Qassam Brigades","2009-07-01",-10,"2008-12-01","2014-08-19"
"909","Izz ad-Din al-Qassam Brigades","2009-08-01",-10,"2008-12-01","2014-08-19"
"910","Izz ad-Din al-Qassam Brigades","2009-09-01",-10,"2008-12-01","2014-08-19"
"911","Izz ad-Din al-Qassam Brigades","2009-10-01",-10,"2008-12-01","2014-08-19"
"912","Izz ad-Din al-Qassam Brigades","2009-11-01",-10,"2008-12-01","2014-08-19"
"913","Izz ad-Din al-Qassam Brigades","2009-12-01",-10,"2008-12-01","2014-08-19"
"914","Izz ad-Din al-Qassam Brigades","2010-01-01",-10,"2008-12-01","2014-08-19"
"915","Izz ad-Din al-Qassam Brigades","2010-02-01",-10,"2008-12-01","2014-08-19"
"916","Izz ad-Din al-Qassam Brigades","2010-03-01",-10,"2008-12-01","2014-08-19"
"917","Izz ad-Din al-Qassam Brigades","2010-04-01",-10,"2008-12-01","2014-08-19"
"918","Izz ad-Din al-Qassam Brigades","2010-05-01",-5,"2009-01-01","2014-08-19"
"919","Izz ad-Din al-Qassam Brigades","2010-06-01",-5,"2009-01-01","2014-08-19"
"920","Izz ad-Din al-Qassam Brigades","2010-07-01",-5,"2009-01-01","2014-08-19"
"921","Izz ad-Din al-Qassam Brigades","2010-08-01",-5,"2009-01-01","2014-08-19"
"922","Izz ad-Din al-Qassam Brigades","2010-09-01",-5,"2009-01-01","2014-08-19"
"923","Izz ad-Din al-Qassam Brigades","2010-10-01",-5,"2009-01-01","2014-08-19"
"924","Izz ad-Din al-Qassam Brigades","2010-11-01",-9.5,"2010-05-01","2014-08-19"
"925","Izz ad-Din al-Qassam Brigades","2010-12-01",-9.5,"2010-05-01","2014-08-19"
"926","Izz ad-Din al-Qassam Brigades","2011-01-01",-9.5,"2010-05-01","2014-08-19"
"927","Izz ad-Din al-Qassam Brigades","2011-02-01",-9.5,"2010-05-01","2014-08-19"
"928","Izz ad-Din al-Qassam Brigades","2011-03-01",-9.5,"2010-05-01","2014-08-19"
"929","Izz ad-Din al-Qassam Brigades","2011-04-01",-9.5,"2010-05-01","2014-08-19"
"930","Izz ad-Din al-Qassam Brigades","2011-05-01",-9.5,"2010-05-01","2014-08-19"
"931","Izz ad-Din al-Qassam Brigades","2011-06-01",-9.5,"2010-05-01","2014-08-19"
"932","Izz ad-Din al-Qassam Brigades","2011-07-01",-9.5,"2010-05-01","2014-08-19"
"933","Izz ad-Din al-Qassam Brigades","2011-08-01",-9.5,"2010-05-01","2014-08-19"
"934","Izz ad-Din al-Qassam Brigades","2011-09-01",-9.5,"2010-05-01","2014-08-19"
"935","Izz ad-Din al-Qassam Brigades","2012-11-01",-7.142857,"2012-06-01","2014-08-19"
"936","Izz ad-Din al-Qassam Brigades","2012-12-01",-7.142857,"2012-06-01","2014-08-19"
"937","Izz ad-Din al-Qassam Brigades","2013-01-01",-7.142857,"2012-06-01","2014-08-19"
"938","Izz ad-Din al-Qassam Brigades","2013-02-01",-7.142857,"2012-06-01","2014-08-19"
"939","Izz ad-Din al-Qassam Brigades","2013-03-01",-7.142857,"2012-06-01","2014-08-19"
"940","Izz ad-Din al-Qassam Brigades","2013-04-01",-7.142857,"2012-06-01","2014-08-19"
"941","Izz ad-Din al-Qassam Brigades","2013-05-01",-7.142857,"2012-06-01","2014-08-19"
"942","Izz ad-Din al-Qassam Brigades","2013-06-01",-7.142857,"2012-06-01","2014-08-19"
"943","Izz ad-Din al-Qassam Brigades","2013-07-01",-7.142857,"2012-06-01","2014-08-19"
"944","Izz ad-Din al-Qassam Brigades","2013-08-01",-7.142857,"2012-06-01","2014-08-19"
"945","Izz ad-Din al-Qassam Brigades","2013-09-01",-7.142857,"2012-11-01","2014-08-19"
"946","Izz ad-Din al-Qassam Brigades","2013-10-01",-7.142857,"2012-11-01","2014-08-19"
"947","Izz ad-Din al-Qassam Brigades","2013-11-01",-7.142857,"2012-11-01","2014-08-19"
"948","Izz ad-Din al-Qassam Brigades","2013-12-01",-7.142857,"2012-11-01","2014-08-19"
"949","Izz ad-Din al-Qassam Brigades","2014-01-01",-7.142857,"2012-11-01","2014-08-19"
"950","Izz ad-Din al-Qassam Brigades","2014-02-01",-7.142857,"2012-11-01","2014-08-19"
"951","Izz ad-Din al-Qassam Brigades","2014-03-01",-7.142857,"2012-11-01","2014-08-19"
"952","Izz ad-Din al-Qassam Brigades","2014-04-01",-7.142857,"2012-11-01","2014-08-19"
"953","Izz ad-Din al-Qassam Brigades","2014-05-01",-7.142857,"2012-11-01","2014-08-19"
"954","Izz ad-Din al-Qassam Brigades","2014-06-01",-7.142857,"2012-11-01","2014-08-19"
"955","Izz ad-Din al-Qassam Brigades","2014-07-01",-9.375,"2013-09-01","2014-08-19"
"956","Izz ad-Din al-Qassam Brigades","2014-08-01",-8.333333,"2014-07-01","2014-08-19"
"957","Palestine Democratic Union","1997-11-01",-2.2,"1997-06-01","2014-04-19"
"958","Palestine Democratic Union","1997-12-01",-2.2,"1997-06-01","2014-04-19"
"959","Palestine Democratic Union","1998-01-01",-2.2,"1997-06-01","2014-04-19"
"960","Palestine Democratic Union","1998-02-01",-2.2,"1997-06-01","2014-04-19"
"961","Palestine Democratic Union","1998-03-01",-2.2,"1997-06-01","2014-04-19"
"962","Palestine Democratic Union","1998-04-01",-2.2,"1997-06-01","2014-04-19"
"963","Palestine Democratic Union","1998-05-01",-2.2,"1997-06-01","2014-04-19"
"964","Palestine Democratic Union","1998-06-01",-2.2,"1997-06-01","2014-04-19"
"965","Palestine Democratic Union","1998-07-01",-3.25,"1997-11-01","2014-04-19"
"966","Palestine Democratic Union","1998-08-01",-3.25,"1997-11-01","2014-04-19"
"967","Palestine Democratic Union","1998-09-01",-3.25,"1997-11-01","2014-04-19"
"968","Palestine Democratic Union","1998-10-01",-3.25,"1997-11-01","2014-04-19"
"969","Palestine Democratic Union","1998-11-01",-3.25,"1997-11-01","2014-04-19"
"970","Palestine Democratic Union","1998-12-01",-3.25,"1997-11-01","2014-04-19"
"971","Palestine Democratic Union","1999-02-01",-2,"1999-01-01","2014-04-19"
"972","Palestine Democratic Union","1999-03-01",-2,"1999-02-01","2014-04-19"
"973","Palestine Democratic Union","1999-04-01",-2,"1999-02-01","2014-04-19"
"974","Palestine Democratic Union","1999-10-01",-0.5714286,"1999-09-01","2014-04-19"
"975","Palestine Democratic Union","2000-02-01",-2.2,"2000-01-01","2014-04-19"
"976","Palestine Democratic Union","2000-03-01",-2.2,"2000-01-01","2014-04-19"
"977","Palestine Democratic Union","2000-10-01",-0.6666667,"2000-09-01","2014-04-19"
"978","Palestine Democratic Union","2000-12-01",-1.6666667,"2000-11-01","2014-04-19"
"979","Palestine Democratic Union","2001-01-01",-1,"2000-12-01","2014-04-19"
"980","Palestine Democratic Union","2001-06-01",-1.8,"2001-05-01","2014-04-19"
"981","Palestine Democratic Union","2001-07-01",-0.5,"2001-06-01","2014-04-19"
"982","Palestine Democratic Union","2001-08-01",-1.5636364,"2001-07-01","2014-04-19"
"983","Palestine Democratic Union","2001-09-01",-0.5714286,"2001-08-01","2014-04-19"
"984","Palestine Democratic Union","2001-10-01",-0.5714286,"2001-09-01","2014-04-19"
"985","Palestine Democratic Union","2001-11-01",-1,"2001-10-01","2014-04-19"
"986","Palestine Democratic Union","2002-01-01",-2.25,"2001-12-01","2014-04-19"
"987","Palestine Democratic Union","2002-02-01",-0.6666667,"2002-01-01","2014-04-19"
"988","Palestine Democratic Union","2002-03-01",-0.6666667,"2002-02-01","2014-04-19"
"989","Palestine Democratic Union","2002-04-01",-2,"2002-03-01","2014-04-19"
"990","Palestine Democratic Union","2002-06-01",-0.4,"2002-05-01","2014-04-19"
"991","Palestine Democratic Union","2002-07-01",-0.6666667,"2002-06-01","2014-04-19"
"992","Palestine Democratic Union","2002-11-01",-1,"2002-10-01","2014-04-19"
"993","Palestine Democratic Union","2002-12-01",-2,"2002-11-01","2014-04-19"
"994","Palestine Democratic Union","2003-02-01",-0.6666667,"2003-01-01","2014-04-19"
"995","Palestine Democratic Union","2003-05-01",-0.5,"2003-04-01","2014-04-19"
"996","Palestine Democratic Union","2003-06-01",-4.4,"2003-05-01","2014-04-19"
"997","Palestine Democratic Union","2003-08-01",-2,"2003-07-01","2014-04-19"
"998","Palestine Democratic Union","2003-09-01",-2,"2003-07-01","2014-04-19"
"999","Palestine Democratic Union","2007-12-01",-2,"2007-11-01","2014-04-19"
"1000","Palestine Democratic Union","2008-01-01",-2,"2007-11-01","2014-04-19"
"1001","Palestine Democratic Union","2008-02-01",-1,"2007-12-01","2014-04-19"
"1002","Palestine Democratic Union","2008-03-01",-1,"2008-02-01","2014-04-19"
"1003","Palestine Democratic Union","2008-04-01",-1,"2008-02-01","2014-04-19"
"1004","Palestine Democratic Union","2008-05-01",-1,"2008-02-01","2014-04-19"
